#,Type,Grase,per board,loc,Part Number,Manufacturer,Quantity
4281316,"Connector,Header,3 Pos,2.54mm,Str,PTH,Gold",A,1,J19,P9101-03-12-1,Protectron Electromech,10
4281352,"Diode,BAV99,Switching,200mA,350mW,70V,SMD,SOT-23,Dual,RoHS",A,2,"D77,D120",BAV99-TP,Micro Commercial Components Corporation,20
4296702,"IC,ACS758LCB,Sensor,Current,Linear,PTH,CB-5,150C,RoHS",1,1,U30,ACS758LCB-050U-PFF-T,Allegro MicroSystems Inc,10
4304420,"Capacitor,Cer,6.8nF,25V,SMD,0603,C0G,5%,RoHS",1,1,C258,C1608C0G1E682J,TDK Corporation,10
4325864,"Resistor,Chip,5.62K,1/4W,1%,SMD,1206,RoHS",1,1,R402,"RC1206FR-075K62L
ERJ-8ENF5621V","Yageo Corporation
Panasonic Corporation",10
4326766,"Resistor,Chip,0.007 Ohm,2W,1%,SMD,2512,RoHS",1,2,"R11,R20",CSNL2512FT7L00,Stackpole Electronics Inc,20
4332384,"Resistor,Chip,475 Ohm,1/10W,1%,SMD,0402,RoHS",1,1,R56,ERJ-2RKF4750X,Panasonic Corporation,10
4334656,"IC,TPS2042B,Switch,Power-Dist,Curr-Lim,SMD,SOIC-8,85C,RoHS",1,1,U23,TPS2042BD,Texas Instruments,10
4346946,"Capacitor,Cer,22uF,25V,SMD,1206,X5R,10%,RoHS",A,12,"C10-C11,C27-C28,C30-C37",GRM31CR61E226KE15L,Murata Electronics,120
4351789,"Capacitor,Cer,33nF,50V,SMD,0402,X7R,10%,RoHS",A,1,C13,C1005X7R1H333K,TDK Corporation,10
4353102,"Transistor,DMP2104LP,P-MOSFET,20V,1.2A,DFN1411-3,SMD,RoHS",1,2,Q34-Q35,DMP2104LP-7,Diodes Inc,20
4356959,"IC,M24C32,EEPROM,Serial,32K,SMD,TSSOP-8,85C,RoHS",A,1,U12,M24C32-RDW6TP,STMicroelectronics,10
4358328,"Capacitor,Cer,100pF,100V,SMD,0603,C0G,5%,RoHS",1,19,"C211-C212,C225,C227-C228,C236-C237,C398-C409","06031A101JAT2A
GRM1885C2A101JA01D","AVX Corporation
Murata Electronics",190
4361889,"Capacitor,Cer,10uF,50V,SMD,2220,X5R,10%,RoHS",A,2,C294-C295,"22205C106KAT2A
C5750X5R1H106K
C2220C106K5RACTU","AVX Corporation
TDK Corporation
KEMET Corporation",20
4362161,Connector_USB_MicroAB_Vertical_TH,1,1,J15,USB3105-30-A,Global Connector Technology Ltd,10
4363923,"IC,A4950,Driver,Motor,PWM,SMD,SOICN-8,85C,RoHS",1,2,"U13,U17",A4950ELJTR-T,Allegro MicroSystems Inc,20
4367346,"Capacitor,Al-Elect,150uF,50V,Radial,10x12.5mm,105C,20%,RoHS",A,3,"C195,C219,C264",EEU-FR1H151B,Panasonic Corporation,30
4367769,"Connector,Header,Serial ATA,7 Pos,1.27mm,Str,SMD,Gold,RoHS",A,2,J13-J14,67800-5005,Molex Inc,20
4369762,"LED,Red/Blu/Grn,2.8x4.4mm,SMD,PLCC-6,110C,RoHS",1,12,D44-D55,ASMT-YTB2-0BB02,Avago Technologies,120
4372554,"Connector,Header,Shrouded,4 Pos,2.5mm,Str,PTH,Tin,RoHS",1,2,J25-J26,B4B-XH-A,JST Corporation,20
4372736,"Resistor,Chip,0.009 Ohm,1W,1%,SMD,1206,RoHS",1,1,R350,PRL1632-R009-F-T1,Susumu Company Ltd,10
4372950,"Capacitor,Cer,120nF,10V,SMD,0603,X7R,10%,RoHS",1,1,C257,0603ZC124KAT2A,AVX Corporation,10
4383626,"IC,PCA9542A,MUX,Bus,I2C,2-Ch,SMD,TSSOP-14,85C,RoHS",1,1,U22,"PCA9542APW,118",NXP Semiconductors,10
4389799,Ferrite Bead 1100Ohm 200mA 0603,1,5,FB3-FB7,HZ0603B112R-10,Laird Technologies,50
4389803,Ferrite Bead 600 Ohm 1.5A 0805,1,2,FB1-FB2,"MPZ2012S601A
MI0805K601R-10","TDK Corporation
Laird Technologies",20
4399285,"Diode,BAT54,Schottky,30V,200mA,SMD,SC-70,RoHS",B,3,D56-D58,"BAT54SWT1G
BAT54SW-7-F
BAT54SWT1G
BAT54SWT","Fairchild Semiconductor
Diodes Inc
ON Semiconductor
NXP Semiconductors",30
4400334,"Connector,Header,Pin,8 Pos,1.27mm,Str,PTH,Gold,RoHS",A,2,"J10,J51",TFM-108-01-S-S-WT,Samtec Inc,20
4403202,"IC,74LVC1G00,Gate,NAND,2-Input,SMD,SOT-23-5,85C,RoHS",A,7,"U40,U42,U44,U46,U48,U50,U52",SN74LVC1G00DBVR,Texas Instruments,70
4404822,"Capacitor,Cer,27pF,50V,SMD,0402,C0G,5%,RoHS",A,50,"C124-C125,C140-C163,C170-C193","CC0402JRNPO9BN270
04025A270JAT2A","Yageo Corporation
AVX Corporation",500
4418976,"IC,LMP8603,Amplifier,Current Sensing,SMD,VSSOP-8,125C,RoHS",A,6,"U15,U18,U28,U36,U56,U58",LMP8603MME/NOPB,Texas Instruments,60
4419101,"Resistor,Chip,11.30K,1/10W,0.1%,SMD,0603,RoHS",A,2,"R401,R407",RG1608P-1132-B-T5,Susumu Company Ltd,20
4419102,"Resistor,Chip,270.0K,1/10W,0.1%,SMD,0603,RoHS",A,1,R409,RG1608P-274-B-T5,Susumu Company Ltd,10
4419103,"Resistor,Chip,3.480K,1/10W,0.1%,SMD,0603,RoHS",A,1,R410,RG1608P-3481-B-T5,Susumu Company Ltd,10
4424413,"Connector,High Speed,7 Pos,1.27mm,Str,PTH,Gold,RoHS",A,1,P1,67800-8005,Molex Inc,10
4427390,"Resistor,Chip,0.150 Ohm,1W,1%,SMD,2512,RoHS",A,1,R247,WSL2512R1500FEA,Vishay Intertechnology Inc,10
4428447,"Connector,Header,Pin,2 Pos,4.2mm,Str,PTH,Tin,RoHS",A,4,"J22-J24,J27",39-28-1023,Molex Inc,40
4430349,"Inductor,Choke,CM,550 Ohm@100MHz,10A,SMD,15x13mm,RoHS",A,1,L46,ACM1513-551-2PL-TLHF,TDK Corporation,10
4431003,"Inductor,Choke,CM,300 Ohm,2A,SMD,5.5x9mm,RoHS",A,1,L15,ZJYS51R5-2PBT-01,TDK Corporation,10
4431058,"Diode,SMBJ12A,TVS,600W,12V,SMD,SMB,150C,RoHS",A,5,"D106,D108,D110-D111,D114",SMBJ12A-13-F,Diodes Inc,50
4431061,"Diode,SMBJ5.0CA,TVS,600W,5V,SMD,SMB,Bi-Dir,150C,RoHS",A,1,D125,"SMBJ5.0CA
SMBJ5.0CA-13-F","Littelfuse Inc
Diodes Inc",10
4434865,"Capacitor,Al-Elect,100uF,100V,Rad,12.5x12.5mm,105C,20%,RoHS",A,1,C223,URY2A101MHD,Nichicon Corporation,10
4435016,"Capacitor,Cer,68nF,50V,SMD,0603,X7R,10%,RoHS",A,12,"C22,C39,C44,C59,C63,C76,C88,C90,C95,C107,C109,C114",C0603C683K5RACTU,KEMET Corporation,120
4436510,"Capacitor,Cer,1.0uF,100V,SMD,0805,X7S,10%,Soft Term,RoHS",A,3,"C53,C204,C231",CGA4J3X7S2A105K125AE,TDK Corporation,30
4453433,"Connector,Header,Pin,2x7,2mm,Str,SMD,Gold,RoHS",A,4,J5-J8,T2M-107-01-S-D-SM-WT,Samtec Inc,40
4456466,"Diode,10MQ100N,Schottky,2.1A,100V,SMD,SMA,RoHS",A,1,D67,VS-10MQ100NTRPBF,Vishay Intertechnology Inc,10
4456889,"Connector,Header,Pin,2 Pos,10mm,Str,PTH,Gold,RoHS",A,1,J18,42819-2213,Molex Inc,10
4463897,"IC,STM32F407,MCU+FPU,32-Bit,ARM,SMD,LQFP-176,85C,RoHS",A,1,U11,STM32F407IGT6,STMicroelectronics,10
4463982,"PCB, POWER MICRO",B,1,PCB1,,,10
4464381,"Inductor,22uH,12.2A,Power,PTH,26.92x16.46mm,10%,RoHS",A,2,L1-L2,VER2923-223KL,Coilcraft Inc,20
4464382,"IC,LM5119,Regulator,Step-Down,2.2A,SMD,WQFN-32,125C,RoHS",A,1,U1,LM5119PSQE/NOPB,Texas Instruments,10
4465187,"IC,A3930,Controller,BLDC,3-Ph,SMD,LQFP-48,125C,RoHS",A,4,"U2,U5,U7,U9",A3930KJPTR-T,Allegro MicroSystems Inc,40
4465343,"Diode,BAT46W,Schottky,200mW,100V,SMD,SOD-123,125C,RoHS",A,4,"D1-D3,D6",BAT46W-7-F,Diodes Inc,40
4465344,"Diode,BAT54T,Schottky,400mW,30V,SMD,SOD-123,125C,RoHS",A,2,"D4,D7",BAT54T1G,ON Semiconductor,20
4466202,"Inductor,Choke,Power,CM,1mH,20A,PTH,30x32mm,RoHS",A,1,L3,7448042001,Wurth Electronics,10
4466203,"Inductor,Choke,Power,CM,1mH,15A,PTH,23x25mm,RoHS",A,1,L5,7448031501,Wurth Electronics,10
4466247,"IC,ACS711,Sensor,Current,Linear,SMD,SOICN-8,85C,RoHS",A,2,U33-U34,ACS711ELCTR-25AB-T,Allegro MicroSystems Inc,20
4466753,"Connector,Header,Pin,3 Pos,7.92mm,Str,PTH,Tin,RoHS",A,4,J1-J4,DF22L-3P-7.92DSA(05),Hirose Electric Group,40
4466757,"IC,MCP4728,DAC,Quad,12-Bit,SMD,MSOP-10,125C,RoHS",A,1,U3,MCP4728A0-E/UN,Microchip Technology Inc,10
4466759,"IC,MCP9501,Switch,Temp,125C,SMD,SOT-23-5,125C,RoHS",A,4,"U4,U6,U8,U10",MCP9501PT-125E/OT,Microchip Technology Inc,40
4466760,"IC,TLC59116,Driver,Sink,LED,16-Ch,SMD,QFN-32,85C,RoHS",A,1,U16,TLC59116IRHBR,Texas Instruments,10
4467238,"IC,MCP4725A0,DAC,12-Bit,W/EEPROM,SMD,SOT23-6,125C,RoHS",A,1,U14,MCP4725A0T-E/CH,Microchip Technology Inc,10
4467449,"Capacitor,Cer,22uF,25V,SMD,2220,X7R,10%,Flex Term,RoHS",A,3,"C208,C248-C249","22203C226KAZ2A
C2220X226K3RACTU","AVX Corporation
KEMET Corporation",30
4467450,"Capacitor,Cer,10uF,50V,SMD,2220,X7R,10%,Flex Term,RoHS",A,8,"C3,C56,C86,C105,C253-C254,C359,C395","22205C106KAZ2A
C2220X106K5RACTU","AVX Corporation
KEMET Corporation",80
4467508,"Resistor,Chip,0.011 Ohm,1W,1%,SMD,1206,RoHS",A,2,"R324,R337",ERJ-8BWFR011V,Panasonic Corporation,20
4468038,"IC,BNO055,Sensor,9-Axis,Abs,SMD,LGA-28,85C,RoHS",A,1,U25,BNO055,Bosch Sensortec,10
4468751,"IC,MCP4725A2,DAC,12-Bit,W/EEPROM,SMD,SOT23-6,125C,RoHS",A,1,U19,MCP4725A2T-E/CH,Microchip Technology Inc,10
4468987,"Ferrite Bead,800 Ohm@100MHz,8A,2220,125C,RoHS",A,3,"L34,L37,L39",HR2220V801R-10,Laird Technologies,30
4468999,"Transistor,MMBT4403L,PNP,40V,600mA,SOT-23,SMD,RoHS",A,1,Q31,MMBT4403LT1G,ON Semiconductor,10
4469162,"Capacitor,Cer,10uF,6.3V,SMD,0603,X5R,10%,RoHS",A,1,C128,"C1608X5R0J106K080AB
06036D106KAT2A","TDK Corporation
AVX Corporation",10
4469703,"Connector,Header,Pin,2x4,4.19mm,Str,PTH,Tin,RoHS",A,1,J21,IPBT-104-H1-T-D-K,Samtec Inc,10
4470126,"Fuse,12A,72V,Slow Blow,6.1x2.69mm,SMD,Ceramic,RoHS",A,1,F4,0454012.MR,Littelfuse Inc,10
4470205,"Inductor,3.3uH,260mA,Chip,SMD,2.9x2.5mm,10%,RoHS",A,1,L4,CM322522-3R3KL,Bourns Inc,10
4470831,"IC,XRA1201,Expander,GPIO,I2C/SMBus,SMD,TSSOP-24,85C,RoHS",A,1,U61,XRA1201PIG24-F,Exar Corporation,10
8321,"Resistor,Chip,200 Ohm,1/10W,1%,SMD,0603,RoHS",B,5,"R62,R95,R126,R157,R250",RC0603FR-07200RL,Yageo Corporation,50
9267,"Inductor,100 Ohm@100MHz,3A,Ferrite,SMD,1206,RoHS",B,2,L44-L45,HI1206N101R-10,Laird Technologies,20
